City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Mahibadhoo,MV,84.47,overcast clouds,3.78,72.97,Omadhoo Inn
227,Attawapiskat,MV,84.47,overcast clouds,3.78,72.97,Omadhoo Inn
228,Caravelas,BR,79.74,clear sky,-17.71,-39.25,Pousada dos Navegantes
232,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
233,Shasta Lake,US,73.0,clear sky,40.68,-122.37,Shasta Dam Motel
234,Barra Patuca,HN,82.42,overcast clouds,15.8,-84.28,
239,Souillac,MU,75.2,scattered clouds,-20.52,57.52,Bils' Villa
241,Meiktila,MM,80.87,overcast clouds,20.87,95.87,The Floral Breeze Wunzin Hotel
245,Meulaboh,ID,78.26,overcast clouds,4.14,96.13,Kost Pria
247,Huicheng,CN,87.8,clear sky,23.04,116.29,Huilai Hotel
248,Honolulu,US,78.8,few clouds,21.31,-157.86,Aston at the Executive Centre Hotel
249,Jinchang,CN,77.04,clear sky,38.5,102.17,Mingshihui Jinchang International Hotel
250,Kavieng,PG,82.94,overcast clouds,-2.57,150.8,Nusa Island Retreat
251,Grand River South East,PG,82.94,overcast clouds,-2.57,150.8,Nusa Island Retreat
256,Portoferraio,IT,86.0,clear sky,42.81,10.31,Hotel Villa Ombrosa
257,Barbar,IT,86.0,clear sky,42.81,10.31,Hotel Villa Ombrosa
258,Muros,ES,88.0,clear sky,42.78,-9.06,Apartment Av. Castelao
264,Korla,CN,80.8,scattered clouds,41.76,86.15,Gulisitan Hotel
267,Nuevo Progreso,MX,82.99,scattered clouds,23.17,-97.95,Balneario Rio el Paraiso
268,Koutsouras,GR,81.59,clear sky,35.03,25.95,The White Houses
269,Itarema,BR,85.62,clear sky,-2.92,-39.92,Windvillage
270,Vao,NC,71.13,clear sky,-22.67,167.48,Hotel Kou-Bugny
272,Mumbwa,ZM,83.55,clear sky,-14.98,27.06,Mumbwa Motel
274,Porto Velho,BR,71.6,mist,-8.76,-63.9,Ecos Hotel Conforto
276,Fukue,JP,78.21,overcast clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
277,Tuni,IN,85.64,overcast clouds,17.35,82.55,Sai Krishna Lodge
281,Samandag,TR,89.6,clear sky,36.08,35.98,Anadolu Palace Hotel
285,Lagos,NG,80.6,broken clouds,6.58,3.75,
289,Ternate,ID,80.82,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
291,Bombay,IN,87.01,haze,19.01,72.85,Four Seasons Hotel Mumbai
292,Saint Augustine,US,86.0,clear sky,29.89,-81.31,Best Western Spanish Quarters Inn
294,Cabo San Lucas,MX,86.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
298,Payson,US,71.01,clear sky,40.04,-111.73,Quality Inn Payson I-15
300,Alekseyevka,RU,81.7,clear sky,50.63,38.69,Apartment on Ploshchad Pobedy
301,Terrasini,IT,87.01,clear sky,38.15,13.08,Florio Park Hotel
302,Kahului,US,78.8,clear sky,20.89,-156.47,Maui Seaside Hotel
308,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
311,Chauk,MM,86.0,overcast clouds,20.88,94.82,Bo Khin Guest House
313,Ewa Beach,US,78.8,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
320,Yima,CN,75.0,broken clouds,34.74,111.88,Yima Hotel
323,Odweyne,SO,85.44,broken clouds,9.41,45.06,Eng Hiirey House
325,Sao Joao Da Barra,BR,77.0,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
326,Shizuishan,CN,76.41,clear sky,39.23,106.77,Xingji Hotel
330,Sao Gabriel Da Cachoeira,BR,75.2,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
331,Qiongshan,CN,80.6,clear sky,20.01,110.35,Sun City Restaurant
333,Shitanjing,CN,72.41,clear sky,39.23,106.34,
335,Tarakan,ID,80.49,overcast clouds,3.3,117.63,Hotel D' CaLia Tarakan
336,Jiuquan,CN,79.68,overcast clouds,39.74,98.52,Jiuquan Hotel
337,Kushmurun,KZ,79.11,clear sky,52.45,64.63,Gostinitsa Pri Depo
342,Faanui,PF,78.64,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
343,Ponta Do Sol,PT,75.99,clear sky,32.67,-17.1,Hotel do Campo
346,Buritis,BR,79.81,clear sky,-15.62,-46.42,Hotel Rainha do Vale
347,Satitoa,BR,79.81,clear sky,-15.62,-46.42,Hotel Rainha do Vale
348,Omaruru,,81.84,clear sky,-21.43,15.93,"Kashana, Omaruru, Namibia"
350,Dwarka,IN,84.81,clear sky,22.24,68.97,Hotel Narayan Avezika Comfort
351,Guarapari,BR,77.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
352,Kuching,MY,80.6,scattered clouds,1.55,110.33,Hilton Kuching
355,Cap Malheureux,MU,73.0,clear sky,-19.98,57.61,Pereybere Hotel & Spa
357,Carver,US,72.0,clear sky,44.8,-93.78,AmeriVu Inn and Suites - Waconia
358,Port Blair,IN,80.83,overcast clouds,11.67,92.75,Hotel Sentinel
363,Malpe,IN,82.4,scattered clouds,13.35,74.72,Hotel Sri Krishna Residency
367,Khani,GE,82.4,broken clouds,41.96,42.96,კურორტი ზეკარი/Resort Zekari
368,Khorixas,,84.2,clear sky,-20.37,14.97,Khorixas Lodge
371,Winneba,GH,80.6,overcast clouds,5.35,-0.62,Windy Lodge Beach Resort
372,George Town,MY,84.2,few clouds,5.41,100.34,Cititel Penang
374,Acapulco,MX,78.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
375,Nizhneyansk,MX,78.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
376,Yunjinghong,MX,78.8,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
377,Lorengau,PG,81.77,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
378,Sentyabrskiy,PG,81.77,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
379,Wulanhaote,PG,81.77,broken clouds,-2.02,147.27,Lorengau Harbourside Hotel
381,Kalmunai,LK,83.59,overcast clouds,7.42,81.82,VS Villa
382,Xianyang,CN,75.99,broken clouds,34.34,108.7,铁路大厦
385,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
388,The Valley,AI,84.2,haze,18.22,-63.06,CeBlue Villas & Beach Resort
389,Weiz,AT,75.0,clear sky,47.22,15.62,Hotel Restaurant Allmer
390,Antonina,BR,73.0,clear sky,-25.43,-48.71,Hotel Capelista
394,Aguimes,ES,79.0,few clouds,27.91,-15.45,Hotel Villa de Aguimes
397,Pangkalanbuun,ID,74.82,overcast clouds,-2.68,111.62,Grand Kecubung Hotel
400,Chivolo,CO,80.38,clear sky,10.03,-74.62,hotel las vegas
403,Kokopo,PG,77.88,overcast clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
406,Manakara,MG,72.12,clear sky,-22.13,48.02,La Residence Manakara
410,Bodden Town,KY,87.01,broken clouds,19.28,-81.25,Will T Place
412,Ajaccio,FR,82.4,clear sky,42.0,8.92,Sole E Monte
414,Laredo,US,80.6,clear sky,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
415,North Platte,US,71.01,clear sky,41.12,-100.77,Holiday Inn Express & Suites North Platte
